step,from,to
1409,63,197
1410,197,47
1411,47,178
1412,178,60
1413,60,190
1414,190,58
1415,58,159
1416,159,51
1417,51,183
1418,183,49
1419,49,168
1420,168,83
1421,83,166
1422,166,65
1423,65,148
1424,148,9
1425,9,125
1426,125,7
1427,7,144
1428,144,72
1429,72,176
1430,176,53
1431,53,183
1432,183,97
1433,97,153
1434,153,27
1435,27,102
1436,102,11
1437,11,139
1438,139,18
1439,18,130
1440,130,230
1441,230,119
1442,119,13
1443,13,146
1444,146,3
1445,3,119
1446,119,22
1447,22,140
1448,140,0
1449,0,93
1450,93,157
1451,157,68
1452,68,188
1453,188,74
1454,74,159
1455,159,85
1456,85,180
1457,180,80
1458,80,169
1459,169,58
1460,58,165
1461,165,90
1462,90,142
1463,142,62
1464,62,189
1465,189,101
1466,101,23
1467,23,100
1468,100,157
1469,157,31
1470,31,110
1471,110,18
1472,18,112
1473,112,39
1474,39,115
1475,115,6
1476,6,146
1477,146,239
1478,239,131
1479,131,219
1480,219,113
1481,113,217
1482,217,128
1483,128,226
1484,226,126
1485,126,202
1486,202,133
1487,133,212
1488,212,128
1489,128,34
1490,34,164
1491,164,94
1492,94,239
1493,239,113
1494,113,226
1495,226,99
1496,99,4
1497,4,149
1498,149,11
1499,11,109
1500,109,37
1501,37,165
1502,165,67
1503,67,162
1504,162,98
1505,98,12
1506,12,130
1507,130,32
1508,32,136
1509,136,222
1510,222,127
1511,127,230
1512,230,124
1513,124,15
1514,15,98
1515,98,225
1516,225,137
1517,137,10
1518,10,147
1519,147,95
1520,95,162
1521,162,49
1522,49,199
1523,199,64
1524,64,194
1525,194,58
1526,58,186
1527,186,64
1528,64,172
1529,172,68
1530,68,139
1531,139,210
1532,210,119
1533,119,220
1534,220,108
1535,108,35
1536,35,129
1537,129,196
1538,196,46
1539,46,176
1540,176,82
1541,82,153
1542,153,87
1543,87,168
1544,168,61
1545,61,163
1546,163,71
1547,71,171
1548,171,44
1549,44,119
1550,119,208
1551,208,132
1552,132,200
1553,200,121
1554,121,0
1555,0,89
1556,89,222
1557,222,105
1558,105,20
1559,20,119
1560,119,5
1561,5,112
1562,112,233
1563,233,95
1564,95,228
1565,228,96
1566,96,146
1567,146,93
1568,93,226
1569,226,118
1570,118,203
1571,203,134
1572,134,23
1573,23,142
1574,142,59
1575,59,172
1576,172,61
1577,61,194
1578,194,81
1579,81,167
1580,167,40
1581,40,111
1582,111,210
1583,210,127
1584,127,16
1585,16,149
1586,149,87
1587,87,189
1588,189,65
1589,65,184
1590,184,51
1591,51,179
1592,179,67
1593,67,151
1594,151,94
1595,94,166
1596,166,80
1597,80,171
1598,171,90
1599,90,158
1600,158,97
1601,97,6
1602,6,127
1603,127,238
1604,238,120
1605,120,18
1606,18,108
1607,108,12
1608,12,139
1609,139,228
1610,228,129
1611,129,8
1612,8,147
1613,147,1
1614,1,122
1615,122,220
1616,220,115
1617,115,213
1618,213,137
1619,137,19
1620,19,103
1621,103,230
1622,230,134
1623,134,237
1624,237,97
1625,97,235
1626,235,126
1627,126,22
1628,22,114
1629,114,196
1630,196,76
1631,76,174
1632,174,48
1633,48,169
1634,169,70
1635,70,161
1636,161,42
1637,42,191
1638,191,128
1639,128,214
1640,214,115
1641,115,42
1642,42,165
1643,165,84
1644,84,154
1645,154,75
1646,75,197
1647,197,79
1648,79,181
1649,181,62
1650,62,196
1651,196,65
1652,65,154
1653,154,30
1654,30,108
1655,108,38
1656,38,160
1657,160,79
1658,79,187
1659,187,67
1660,67,175
1661,175,99
1662,99,224
1663,224,132
1664,132,221
1665,221,109
1666,109,27
1667,27,106
1668,106,26
1669,26,114
1670,114,9
1671,9,145
1672,145,72
1673,72,183
1674,183,55
1675,55,205
1676,205,123
1677,123,4
1678,4,140
1679,140,18
1680,18,107
1681,107,25
1682,25,138
1683,138,84
1684,84,179
1685,179,56
1686,56,177
1687,177,76
1688,76,182
1689,182,83
1690,83,155
1691,155,80
1692,80,139
1693,139,19
1694,19,119
1695,119,25
1696,25,152
1697,152,14
1698,14,130
1699,130,1
1700,1,93
1701,93,239
1702,239,85
1703,85,169
1704,169,100
1705,100,152
1706,152,87
1707,87,145
1708,145,5
1709,5,122
1710,122,224
1711,224,97
1712,97,154
1713,154,64
1714,64,201
1715,201,51
1716,51,171
1717,171,79
1718,79,156
1719,156,62
1720,62,182
1721,182,47
1722,47,181
1723,181,78
1724,78,199
1725,199,62
1726,62,166
1727,166,59
1728,59,185
1729,185,38
1730,38,186
1731,186,103
1732,103,30
1733,30,106
1734,106,229
1735,229,108
1736,108,227
1737,227,126
1738,126,216
1739,216,130
1740,130,202
1741,202,68
1742,68,183
1743,183,76
1744,76,141
1745,141,213
1746,213,131
1747,131,198
1748,198,48
1749,48,157
1750,157,101
1751,101,164
1752,164,86
1753,86,168
1754,168,54
1755,54,190
1756,190,41
1757,41,158
1758,158,65
1759,65,193
1760,193,43
1761,43,192
1762,192,73
1763,73,169
1764,169,69
1765,69,204
1766,204,128
1767,128,22
1768,22,110
1769,110,220
1770,220,125
1771,125,212
1772,212,121
1773,121,8
1774,8,118
1775,118,21
1776,21,132
1777,132,209
1778,209,127
1779,127,231
1780,231,125
1781,125,17
1782,17,119
1783,119,216
1784,216,115
1785,115,228
1786,228,93
1787,93,160
1788,160,47
1789,47,174
1790,174,52
1791,52,202
1792,202,33
1793,33,112
1794,112,19
1795,19,118
1796,118,42
1797,42,171
1798,171,99
1799,99,149
1800,149,15
1801,15,123
1802,123,28
1803,28,196
1804,196,59
1805,59,148
1806,148,4
1807,4,143
1808,143,96
1809,96,173
1810,173,60
1811,60,195
1812,195,129
1813,129,208
1814,208,138
1815,138,215
